,Rank,Cafe,Menu,Price,Address,Telephone,Home Page,Lattitude,Longitude
18,19,Old Jerusalem,Falafel,$6.25,1411 N. Wells St.,312-944-0459, oldjerusalemchicago.com,41.9080539,-87.6343113
19,20,Mindy’s HotChocolate,Crab Cake,$15,1747 N. Damen Ave.,773-489-1747, hotchocolatechicago.com,41.91369539999999,-87.6771273
20,21,Olga’s Delicatessen,Chicken Schnitzel,$5,3209 W. Irving Park Rd.,773-539-8038, ,41.9537106,-87.7084504
21,22,Dawali Mediterranean Kitchen,Shawarma,$6, , , dawalikitchen.com,,
22,23,Big Jones,Toasted Pimiento Cheese,$8,5347 N. Clark St.,773-275-5725, bigjoneschicago.com,41.9794496,-87.66795719999999
23,24,La Pane,Vegetarian Panino,$5.99,2954 W. Irving Park Rd.,773-539-5321, lapanechicago.com,41.9541563,-87.7027107
24,25,Pastoral,Cali Chèvre,$7.52, , , pastoralartisan.com,,
25,26,Max’s Deli,Pastrami,$11.95,"191 Skokie Valley Rd.,  Highland Park",847-831-0600, maxs-deli.com,42.156691,-87.803618
26,27,Lucky’s Sandwich Co.,The Fredo,$7.50, , , luckysandwich.com,,
27,28,City Provisions,Smoked Ham,$12.95,1818 W. Wilson Ave.,773-293-2489, cityprovisions.com,41.9652987,-87.67557959999999
28,29,Papa’s Cache Sabroso,Jibarito,$7,2517 W. Division St.,773-862-8313, papascachesabroso.com,41.90272179999999,-87.6902135
29,30,Bavette’s Bar & Boeuf,Shaved Prime Rib,$21,218 W. Kinzie St.,312-624-8154, ,41.8893683,-87.6349487
30,31,Hannah’s Bretzel,Serrano Ham and Manchego Cheese,$9.79, , , hannahsbretzel.com,,
31,32,La Fournette,Tuna Salad,$9.75,1547 N. Wells St.,312-624-9430, lafournette.com,41.9105258,-87.6343775
32,33,Paramount Room,Paramount Reuben,$13,415 N. Milwaukee Ave.,312-829-6300, paramountroom.com,41.8896188,-87.64484259999999
33,34,Melt Sandwich Shoppe,The Istanbul,$7.95,1840 N. Damen Ave.,773-681-9914, meltsandwichshoppechicago.com,41.91504990000001,-87.6778047
34,35,Floriole Cafe & Bakery,B.A.D.,$9,1220 W. Webster Ave.,773-883-1313, floriole.com,41.9218521,-87.6592124
35,36,First Slice Pie Café,Duck Confit and Mozzarella,$9,5357 N. Ashland Ave.,773-275-4297, firstslice.org,41.9797099,-87.66934409999999
36,37,Troquet,Croque Monsieur,$8,1834 W. Montrose Ave.,773-334-5664, troquetchicago.com,41.9617122,-87.67581620000001
37,38,Grahamwich,Green Garbanzo,$8,615 N. State St.,312-265-0434, grahamwich.com,41.89296119999999,-87.6278214
38,39,Saigon Sisters,The Hen House,$7, , , saigonsisters.com,,
39,40,Rosalia’s Deli,Tuscan Chicken,$6,"241 N. York Rd.,  Elmhurst",630-516-3354, rosaliasdeli.com,41.9047551,-87.9396459
40,41,Z&H MarketCafe,The Marty ,$7.25,1323 E. 57th St.,773-538-7372, zhmarketcafe.com,41.7913185,-87.5938456
41,42,Market House on the Square,Whitefish,$11,"655 Forest Ave.,  Lake Forest",847-234-8800, themarkethouse.com,42.2518352,-87.8414998
42,43,Elaine’s Coffee Call,"Oat Bread, Pecan Butter, and Fruit Jam",$6,"Hotel Lincoln,  1816 N. Clark St.",312-254-4665, jdvhotels.com/hotels/chicago/lincoln,41.9152875,-87.6343888
43,44,Marion Street Cheese Market,Cauliflower Melt,$9,"100 S. Marion St.,  Oak Park",708-725-7200, marionstreetcheesemarket.com,41.8863622,-87.8022297
44,45,Cafecito,Cubana,$5.49,26 E. Congress Pkwy.,312-922-2233, cafecitochicago.com,41.8758102,-87.6264489
45,46,Chickpea,Kufta,$8,2018 W. Chicago Ave.,773-384-9930, chickpeaonthego.com,41.8960738,-87.6778185
46,47,The Goddess and Grocer,Debbie’s Egg Salad,$6.50,25 E. Delaware Pl.,312-896-2600, goddessandgrocer.com,41.89897850000001,-87.6273926
47,48,Zenwich,Beef Curry,$7.50,"416 N. York St.,  Elmhurst",630-359-5234, eatmyzenwich.com,41.9105832,-87.94048839999999
48,49,Toni Patisserie,Le Végétarien,$8.75,65 E. Washington St.,312-726-2020, tonipatisserie.com,41.8831061,-87.6254381
49,50,Phoebe’s Bakery,The Gatsby,$6.85,3351 N. Broadway,773-868-4000, phoebesbakery.com,41.9431632,-87.6445071
