ID,y,x,이디야 매장수,스타벅스 매장수,커피빈 매장수,빽다방 매장수,커피지수
괴산,12,8,2.0,0.0,0.0,0.0,0.0
단양,11,7,1.0,0.0,0.0,0.0,0.0
보은,13,8,2.0,1.0,0.0,0.0,0.5
청주 상당,14,6,0.0,0.0,0.0,0.0,0.0
청주 서원,14,7,0.0,0.0,0.0,0.0,0.0
영동,15,7,2.0,0.0,0.0,0.0,0.0
옥천,15,6,1.0,0.0,0.0,0.0,0.0
음성,11,5,3.0,2.0,1.0,0.0,1.0
제천,10,7,5.0,1.0,2.0,0.0,0.6
증평,13,6,3.0,1.0,0.0,0.0,0.3333333333333333
진천,12,5,4.0,1.0,0.0,0.0,0.25
청주 청원,13,7,0.0,0.0,0.0,0.0,0.0
충주,12,6,6.0,6.0,0.0,1.0,0.8571428571428571
청주 흥덕,12,7,0.0,0.0,0.0,0.0,0.0
